Year,Place,P (Blank or P),Governing Body,Type of Governing Body,5+,Description,Verified,Specific,Reception,Protection,Contact Through Trade,Partial Emancipation,Symbolic,Full Emancipation,Invited,Success Altering Country,Bribe Ends Expulsion,Leader Ends Expulsion,Conquer Country,Self Governing,Noted Holding IP,Brought in for Economic Growth,Laws Protecting Israel/Jews
519,Roman Empire,,,,,"synagogues in Ravenna are torched by Christians; Theodric, ruler of Italy, compels the Christians to pay for rebuilding. (JVL), from 507- around 519 this is routinely handled in a similar manner by King Theodoric the Ostrogoth intervenes on behalf of Jews against opponents in various cities. (JVL)",,,,,,,,,,,,,,,,,
519,"Ravenna, Italy",P,,,,,,,,,,,,,,,,,,,,,
527,Byzantine Empire,P,,,,,,,,,,,,,,,,,,,,,
529,Byzantine Empire,P,,,,,,,,,,,,,,,,,,,,,
535,"Clermont, France",P,,,,,,,,,,,,,,,,,,,,,
535,"Borion, France",P,,,,,,,,,,,,,,,,,,,,,
538,"Orléans, France",P,,,,,,,,,,,,,,,,,,,,,
547,"Caesarea, France",P,,,,,,,,,,,,,,,,,,,,,
554,"Clement, France",P,,,,,,,,,,,,,,,,,,,,,
558,"Uzzes, Gaul",P,,,,,,,,,,,,,,,,,,,,,
567,"Ceasarea, Byzantine Empire",P,,,,,,,,,,,,,,,,,,,,,
576,"Clermont, Gaul",P,,,,,,,,,,,,,,,,,,,,,
582,Merovingia,P,,,,,,,,,,,,,,,,,,,,,
589,"Narbonne, Septimania;",P,,,,,,,,,,,,,,,,,,,,,
590,"Antioch, Syria",P,,,,,,,,,,,,,,,,,,,,,
590,Persia,P,,,,,,,,,,,,,,,,,,,,,
590,Varies,,,,,Pope Gregory I defends the Jews against forced conversion.,,,,,,,,,,,,,,,,,
598,Palermo,P,,,,,,,,,,,,,,,,,,,,,
600,Byzantine Empire,,,,,"Under Pope Gregory I the papacy becomes the supreme authority of the Western Church; establishment of the doctrine, ""religio illigitimo,"" the policy by which Jews were converted through restriction of Jewish religious activity and proffering political and economic inducements to converts. Jews were to be protected from violence, allowed to survive, but were forbidden to attain equal status to Christians|Pope Gregory I protects Jews in various cities against local bishops' vexations.- **Why:** Desire for the conversion of Jews without violence.",,,,,,,,,,,,,,,,,
602,Mesopotamia,P,,,,,,,,,,,,,,,,,,,,,
608,Byzantine Empire,P,,,,,,,,,,,,,,,,,,,,,
610,Cyprus (Greek island),P,,,,,,,,,,,,,,,,,,,,,
610,"Hispania, Septimania",P,,,,,,,,,,,,,,,,,,,,,
614,Paris,P,,,,,,,,,,,,,,,,,,,,,
614,Palestine,P,,,,,,,,,,,,,,,,,,,,,
615,Italy,P,,,,,,,,,,,,,,,,,,,,,
616,Visigothic Empire,P,,,,,,,,,,,,,,,,,,,,,
617,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
624,Medina,P,,,,,,,,,,,,,,,,,,,,,
626,"Clichy, Rhimes, France",P,,,,,,,,,,,,,,,,,,,,,
627,Medina,P,,,,,,,,,,,,,,,,,,,,,
627,Banu Qurayza,P,,,,,,,,,,,,,,,,,,,,,
628,"Khaybar, Medina, Saudi Arabia",P,,,,,,,,,,,,,,,,,,,,,
629,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
629,Frankish Kingdom,P,,,,,,,,,,,,,,,,,,,,,
629,Austrasia,P,,,,,,,,,,,,,,,,,,,,,
629,"Lombardy, Italy",P,,,,,,,,,,,,,,,,,,,,,
629,Merovingian kingdom,,,,,"Forced Conversion| The practice was sufficiently commonplace for the council at Paris to decree that Jews were henceforth forbidden to exercise military or civil jurisdiction over Christians. It did not, however, interfere with the internal affairs of the Jewish community. The Church seemed to have had little faith that Clotaire would, in fact, ban these important officials from royal service, as is evidenced by the further decree that a Jew who retained a position which exercised power over Christians should forthwith be baptized with his family. Though Clotaire ratified the acts of the council, there is no evidence that he enforced them. https://www.encyclopedia.com/religion/encyclopedias-almanacs-transcripts-and-maps/clotaire-iideg																	",,,,,,,,,,,,,,,,,
629,Francia,P,,,,,,,,,,,,,,,,,,,,,
629,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
632,Byzantine Empire,P,,,,,,,,,,,,,,,,,,,,,
633,Toledo,P,,,,,,,,,,,,,,,,,,,,,
638,Toledo,P,,,,,,,,,,,,,,,,,,,,,
638,Temple Mount,,,,,"Following the Muslim conquest of Jerusalem in May 638, which Jews supported, Caliph Omar ibn al-Khattab ordered the clearing of the site and the building of a house of prayer. The Temple Mount was again opened to Jewish worshippers. (JVL)",,,,,,,,,,,,,,,,,
640,Arabia,P,,,,,,,,,,,,,,,,,,,,,
642,Visigothic Empire,P,,,,,,,,,,,,,,,,,,,,,
650,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
653,"Toledo, Spain",P,,,,,,,,,,,,,,,,,,,,,
672,Spain,P,,,,,,,,,,,,,,,,,,,,,
673,"Narbonne, France",P,,,,,,,,,,,,,,,,,,,,,
681,Spain,P,,,,,,,,,,,,,,,,,,,,,
682,Visigothic Empire,P,,,,,,,,,,,,,,,,,,,,,
691,England,,,,,First account of Jews in England. (JVL),,,,,,,,,,,,,,,,,
692,"Lombardy, Italy",P,,,,,,,,,,,,,,,,,,,,,
692,Constantinople,P,,,,,,,,,,,,,,,,,,,,,
693,Toledo,P,,,,,,,,,,,,,,,,,,,,,
693,Visigothic Empire,P,,,,,,,,,,,,,,,,,,,,,
699,Afghanistan,,,,,"Jewish families mostly lived in the cities of Herat and Kabul, while their patriarchs traveled back and forth on trading trips across Afghanistan; they carved their prayers in Hebrew and Aramaic on mountain rocks as they moved between the routes of the Silk Road",,,,,,,,,,,,,,,,,
720,Temple Mount,P,,,,,,,,,,,,,,,,,,,,,
722,Byzantine Empire,P,,,,,,,,,,,,,,,,,,,,,
787,,,,,,Empress Irena decries the practice of forced conversion against Jews.,,,,,,,,,,,,,,,,,
788,Djerba,P,,,,,,,,,,,,,,,,,,,,,
808,"Fez, Morocco",,,,,"Jews played an important role in the commercial and cultural life of Morocco's capital city. Idriss II (808) admitted large numbers of Jews from Andalusia, whose commercial skills and wide regional contacts were instrumental in enriching his kingdom. They paid an annual tax of 30,000 dinars, an indication of their wealth. The influence they wielded and the respect they commanded are further demonstrated by a legendary tale that has been associated with the community. According to tradition, in 860, the ruler of Fez became infatuated with a young Jewish woman. He forced his way into a public bath in the Jewish quarter (al-Funduk al-Yahudi), where she was at the time. Though he was the most powerful person in the realm, his offense against the widely respected Jewish community caused a violent uprising throughout the town. (JVL)",1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0
820,"Lyon, France",P,,,,,,,,,,,,,,,,,,,,,
825,Holy Roman Empire,,,,,"Holy Roman Emperor Louis (son of Charlemagne) issues a Charter of Protection to Jews, encouraging Jewish trade (including slave trade) and relaxing political restrictions, allowing some juridical autonomy-action was due to his needs for Jewish money, which in turn, makes him beholden to Jewish merchants (JVL)",,,,,,,,,,,,,,,,,
845,"Ningxia, China",P,,,,,,,,,,,,,,,,,,,,,
855,Italy,P,,,,,,,,,,,,,,,,,,,,,
874,Byzantine Empire,P,,,,,,,,,,,,,,,,,,,,,
874,Byzantine Empire,,,,,"Basil I decrees that all Byzantine Jews are to be baptized, by force if necessary.[31].  JVL chronicles that his son ran into the reason behind the decree despite pulling it back: LEO VI° (called ""The Wise""), Byzantine emperor from 886 to 912. His law code, the Basilica, contains no innovations concerning the Jews. Leo appears favorably in Jewish sources. A tenth-century Hebrew apocalyptic text, the Vision of *Daniel, refers to him as granting ""freedom and relief to the holy people,"" and the 11th-century chronicle, Megillat Aḥima'aẓ written by *Ahimaaz b. Paltiel, states that Leo annulled the decree of forced baptism issued by his father, *Basil I. However, Leo's 55th novella, or imperial rescript, declares that ""in order to complete my father's work all Jews, baptized or not, must live according to the ceremonies and customs of Christianity"" – thus even abrogating the fundamentals of Byzantine Jewish legislation. The probable explanation of this contradiction is that Leo continued Basil's attempt but quickly abandoned it when he saw its ineffectiveness – and it was this which was remembered. | Conflicting sources even suggest a Jewish medic or doctor or healer helped Basil I's child and that was why it was never put into effect fully, even rescinded seems to be the implication.",0,1,,,,,,,,,,1,,,,,
875,"Canton, China",P,,,,,,,,,,,,,,,,,,,,,
876,"Sens, France",P,,,,,,,,,,,,,,,,,,,,,
884,Epanagoge,P,,,,,,,,,,,,,,,,,,,,,
900,Narbonne,P,,,,,,,,,,,,,,,,,,,,,
925,"Oria, Italy",P,,,,,,,,,,,,,,,,,,,,,
931,Byzantine Empire,P,,,,,,,,,,,,,,,,,,,,,
931,Verona,P,,,,,,,,,,,,,,,,,,,,,
931,"Bari, Italy",P,,,,,,,,,,,,,,,,,,,,,
943,Khazaria,P,,,,,,,,,,,,,,,,,,,,,
945,"Venice, Italy",P,,,,,,,,,,,,,,,,,,,,,
976,"Imola, Italy",P,,,,,,,,,,,,,,,,,,,,,
985,"Sparta, Greece",P,,,,,,,,,,,,,,,,,,,,,
985,"Barcelona, Spain",P,,,,,,,,,,,,,,,,,,,,,
1009,"Orleans, France",P,,,,,,,,,,,,,,,,,,,,,
1009,Fatimid Empire,P,,,,,,,,,,,,,,,,,,,,,
1010,"Limoges, France",P,,,,,,,,,,,,,,,,,,,,,
1011,"Córdoba, Spain",P,,,,,,,,,,,,,,,,,,,,,
1012,"Rouen, France",P,,,,,,,,,,,,,,,,,,,,,
1012,"Mayence/Mainz, Germany",P,,,,,,,,,,,,,,,,,,,,,
1013,"Cordoba, Spain",P,,,,,,,,,,,,,,,,,,,,,
1016,"Kairouan, Tunisia",P,,,,,,,,,,,,,,,,,,,,,
1021,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1033,"Fez, Morocco",P,,,,,,,,,,,,,,,,,,,,,
1035,"Castrojeriz, Spain",P,,,,,,,,,,,,,,,,,,,,,
1040,Pumbedita,,Baghdad Caliphate,,,"Exilarch Hezekiah Gaon is imprisoned and tortured to death by the Buyyids. The death of Hezekiah ended the line of the Geonim, which had begun four centuries earlier. (NEW SOURCE Jewish Encylopedia .com: ""Principal of the academy at Pumbedita (1038-40). A member of an exilarchal family, he was elected to the office of principal after the murder of Hai Gaon, but was denounced to the fanatical government, imprisoned, and tortured to death. With him ended his family, with the exception of two sons who escaped to Spain, where they found a home with Joseph b. Samuel ha-Nagid. The death of Hezekiah also ended the line of the Geonim, which began four centuries before (see Hanan of Iskiya), and with it the Academy of Pumbedita.""|(modern Fallujah; west of Baghdad-Iraq, Babylon or town of Babylonia at time)| The decline of the Baghdad caliphate, the impoverishment of Babylonian Jewry which caused the academies to depend completely on contributions from abroad, the greatness and the independent intellectual development of the Diaspora, and the persecutions by the Abbasid and Seljuk rulers put an end to the institution of the gaonate in about 1040.",,,,,,,,,,,,,,,,,
1050,"Narbonne, France",P,,,,,,,,,,,,,,,,,,,,,
1062,"Atero, Italy",P,,,,,,,,,,,,,,,,,,,,,
1066,"Rouen, France",P,,,,,,,,,,,,,,,,,,,,,
1066,"Granada, Spain",P,,,,,,,,,,,,,,,,,,,,,
1066,"Toledo, Spain",P,,,,,,,,,,,,,,,,,,,,,
1066,"Mentz, Germany",P,,,,,,,,,,,,,,,,,,,,,
1066,"Spires, Germany",P,,,,,,,,,,,,,,,,,,,,,
1066,"Verdon, Germany",P,,,,,,,,,,,,,,,,,,,,,
1066,"Worms, Germany",P,,,,,,,,,,,,,,,,,,,,,
1066,"Treves, Germany",P,,,,,,,,,,,,,,,,,,,,,
1071,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
1078,"Girona, Spain",P,,,,,,,,,,,,,,,,,,,,,
1090,"Stamford, England",P,,,,,,,,,,,,,,,,,,,,,
1090,"York, England",P,,,,,,,,,,,,,,,,,,,,,
1090,"Lincoln, England",P,,,,,,,,,,,,,,,,,,,,,
1090,"Granada, Spain",,,,,"The Jewish community of Granada, which had recovered after the attacks of 1066, attacked again at the hands of the Almoravides led by Yusuf ibn Tashfin, bringing the golden age of Jewish culture in Spain to end. | At the time of the conquest of the city by the Almoravid Ibn Tāshfin in 1090, the community was destroyed and the *Ibn Ezra family was among the refugees (JVL)",,,,,,,,,,,,,,,,,Inclusion Incongruence
1090,"Norwich, England",P,,,,,,,,,,,,,,,,,,,,,
1092,"Szabolcs, Hungary",P,,,,,,,,,,,,,,,,,,,,,
1095,Lorraine,P,,,,,,,,,,,,,,,,,,,,,
1096,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1096,Ralisbon,P,,,,,,,,,,,,,,,,,,,,,
1096,"Mainz, Germany",P,,,,,,,,,,,,,,,,,,,,,
1096,Northern France,P,,,,,,,,,,,,,,,,,,,,,
1096,"Speyer, Germany",P,,,,,,,,,,,,,,,,,,,,,
1096,Germany,P,,,,,,,,,,,,,,,,,,,,,
1096,"Worms, Germany",P,,,,,,,,,,,,,,,,,,,,,
1099,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
1100,Kiev,P,,,,,,,,,,,,,,,,,,,,,
1107,Morocco,P,,,,,,,,,,,,,,,,,,,,,
1108,"Toledo, Spain",P,,,,,,,,,,,,,,,,,,,,,
1113,Russia,P,,,,,,,,,,,,,,,,,,,,,
1113,"Syracuse, Italy",P,,,,,,,,,,,,,,,,,,,,,
1113,"Kiev, Russia",P,,,,,,,,,,,,,,,,,,,,,
1124,"Kiev, Russia",P,,,,,,,,,,,,,,,,,,,,,
1125,"Flanders, Belgium",P,,,,,,,,,,,,,,,,,,,,,
1130,"Genoa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1135,"Córdoba, Spain",P,,,,,,,,,,,,,,,,,,,,,
1140,Germany,P,,,,,,,,,,,,,,,,,,,,,
1143,"Ham, France",P,,,,,,,,,,,,,,,,,,,,,
1144,Norwich,P,,,,,,,,,,,,,,,,,,,,,
1144,Spain,P,,,,,,,,,,,,,,,,,,,,,
1145,"Tunis, Tunisia",P,,,,,,,,,,,,,,,,,,,,,
1145,Sijilmasa,P,,,,,,,,,,,,,,,,,,,,,
1146,Rhine Valley,P,,,,,,,,,,,,,,,,,,,,,
1146,"Marrakesh, Morocco",P,,,,,,,,,,,,,,,,,,,,,
1147,"Sicily, Italy",,,,,"Roger II, the Norman king of Sicily, brought Jewish dyers from Corinth to Sicily in 1147,",,,,,,,,,,,,,,,,,
1147,"Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1147,"Thebes, Byzantium",P,,,,,,,,,,,,,,,,,,,,,
1147,"Toledo, Spain",P,,,,,,,,,,,,,,,,,,,,,
1147,"Sully, France",P,,,,,,,,,,,,,,,,,,,,,
1147,"Ramenu, France",P,,,,,,,,,,,,,,,,,,,,,
1147,"Carenton, France",P,,,,,,,,,,,,,,,,,,,,,
